,DataUpdated,Presumptive negative,Confirmed negative,Negative,Presumptive positive,Confirmed positive,Resolved,Deceased,Currently under investigation,Total number of patients approved for 2019-nCoV testing to date,Total number of patients approved for COVID-19 testing to date,presumed_or_confirmed_positive,presumed_or_confirmed_negative,total_approved_for_testing,total_tested
0,2020-02-11 15:30:00+00:00,79.0,184.0,,0.0,3,,,19,285.0,,3.0,263.0,285.0,266.0
1,2020-02-12 15:30:00+00:00,44.0,257.0,,0.0,2,1.0,,9,313.0,,2.0,301.0,313.0,304.0
2,2020-02-13 15:30:00+00:00,16.0,306.0,,0.0,2,1.0,,15,,340.0,2.0,322.0,340.0,325.0
3,2020-02-14 15:30:00+00:00,0.0,353.0,,0.0,2,1.0,,8,,364.0,2.0,353.0,364.0,356.0
4,2020-02-14 15:30:00+00:00,0.0,353.0,,0.0,2,1.0,,8,,364.0,2.0,353.0,364.0,356.0
5,2020-02-14 15:30:00+00:00,0.0,353.0,,0.0,2,1.0,,8,,364.0,2.0,353.0,364.0,356.0
6,2020-02-17 15:30:00+00:00,0.0,399.0,,0.0,2,1.0,,0,,402.0,2.0,399.0,402.0,402.0
7,2020-02-18 15:30:00+00:00,0.0,418.0,,0.0,2,1.0,,0,,421.0,2.0,418.0,421.0,421.0
8,2020-02-19 15:30:00+00:00,0.0,436.0,,0.0,2,1.0,,17,,456.0,2.0,436.0,456.0,439.0
9,2020-02-20 15:30:00+00:00,,,462.0,0.0,1,2.0,,14,,479.0,1.0,462.0,479.0,465.0
10,2020-02-21 15:30:00+00:00,,,483.0,0.0,0,3.0,,12,,498.0,0.0,483.0,498.0,486.0
11,2020-02-21 15:30:00+00:00,,,483.0,0.0,0,3.0,,12,,498.0,0.0,483.0,498.0,486.0
12,2020-02-21 15:30:00+00:00,,,483.0,0.0,0,3.0,,12,,498.0,0.0,483.0,498.0,486.0
13,2020-02-24 15:30:00+00:00,,,540.0,0.0,1,3.0,,9,,553.0,1.0,540.0,553.0,544.0
14,2020-02-25 15:30:00+00:00,,,568.0,0.0,1,3.0,,21,,593.0,1.0,568.0,593.0,572.0
15,2020-02-26 15:30:00+00:00,,,610.0,1.0,1,3.0,,14,,629.0,2.0,610.0,629.0,615.0
16,2020-02-27 15:30:00+00:00,,,672.0,1.0,2,3.0,,21,,699.0,3.0,672.0,699.0,678.0
17,2020-02-27 15:30:00+00:00,,,672.0,1.0,2,3.0,,21,,699.0,3.0,672.0,699.0,678.0
18,2020-02-28 15:30:00+00:00,,,739.0,1.0,3,3.0,,22,,768.0,4.0,739.0,768.0,746.0
19,2020-02-28 15:30:00+00:00,,,739.0,1.0,3,3.0,,22,,768.0,4.0,739.0,768.0,746.0
20,2020-03-02 15:30:00+00:00,,,975.0,,15,3.0,,12,,1005.0,15.0,975.0,1005.0,993.0
21,2020-03-03 15:30:00+00:00,,,1061.0,,17,3.0,,45,,1126.0,17.0,1061.0,1126.0,1081.0
22,2020-03-04 15:30:00+00:00,,,1216.0,,17,3.0,,102,,1338.0,17.0,1216.0,1338.0,1236.0
23,2020-03-05 15:30:00+00:00,,,1466.0,,18,4.0,,78,,1566.0,18.0,1466.0,1566.0,1488.0
24,2020-03-06 15:30:00+00:00,,,1665.0,,22,4.0,,72,,1763.0,22.0,1665.0,1763.0,1691.0
25,2020-03-07 14:30:00+00:00,,,1918.0,,24,4.0,,36,,1982.0,24.0,1918.0,1982.0,1946.0
26,2020-03-07 15:30:00+00:00,,,1918.0,,24,4.0,,36,,1982.0,24.0,1918.0,1982.0,1946.0
27,2020-03-09 14:30:00+00:00,,,2347.0,,30,4.0,,22,,2403.0,30.0,2347.0,2403.0,2381.0
28,2020-03-10 14:30:00+00:00,,,2599.0,,31,5.0,,112,,2747.0,31.0,2599.0,2747.0,2635.0
29,2020-03-10 14:30:00+00:00,,,2599.0,,31,5.0,,112,,2747.0,31.0,2599.0,2747.0,2635.0
30,2020-03-11 14:30:00+00:00,,,2888.0,,37,5.0,,465,,3395.0,37.0,2888.0,3395.0,2930.0
31,2020-03-12 14:30:00+00:00,,,3590.0,,54,5.0,,536,,4185.0,54.0,3590.0,4185.0,3649.0
32,2020-03-13 14:30:00+00:00,,,4470.0,,74,5.0,,580,,5129.0,74.0,4470.0,5129.0,4549.0
33,2020-03-14 21:30:00+00:00,,,5606.0,,98,5.0,,939,,6648.0,98.0,5606.0,6648.0,5709.0
34,2020-03-15 21:30:00+00:00,,,7004.0,,140,5.0,,1316,,8465.0,140.0,7004.0,8465.0,7149.0
35,2020-03-16 21:30:00+00:00,,,8464.0,,172,5.0,,1537,,10178.0,172.0,8464.0,10178.0,8641.0
36,2020-03-17 21:30:00+00:00,,,9415.0,,183,5.0,1.0,1567,,11171.0,183.0,9415.0,11171.0,9604.0
37,2020-03-19 14:30:00+00:00,,,12421.0,,251,5.0,1.0,3972,,16650.0,251.0,12421.0,16650.0,12678.0
38,2020-03-19 21:30:00+00:00,,,12421.0,,251,5.0,2.0,3971,,16650.0,251.0,12421.0,16650.0,12679.0
39,2020-03-21 14:30:00+00:00,,,15768.0,,369,6.0,2.0,7239,,23384.0,369.0,15768.0,23384.0,16145.0
40,2020-03-21 21:30:00+00:00,,,15768.0,,368,6.0,3.0,7239,,23384.0,368.0,15768.0,23384.0,16145.0
41,2020-03-22 21:30:00+00:00,,,17634.0,,412,8.0,5.0,8361,,26420.0,412.0,17634.0,26420.0,18059.0
42,2020-03-23 21:30:00+00:00,,,19586.0,,489,8.0,6.0,8417,,28506.0,489.0,19586.0,28506.0,20089.0
43,2020-03-24 21:30:00+00:00,,,21795.0,,572,8.0,8.0,10074,,32457.0,572.0,21795.0,32457.0,22383.0
44,2020-03-25 21:30:00+00:00,,,24458.0,,667,8.0,13.0,10489,,35635.0,667.0,24458.0,35635.0,25146.0
45,2020-03-26 21:30:00+00:00,,,26727.0,,835,8.0,15.0,10965,,38550.0,835.0,26727.0,38550.0,27585.0
46,2020-03-27 10:30:00+00:00,,,29967.0,,967,8.0,18.0,10074,,41032.0,967.0,29967.0,41032.0,30960.0
47,2020-03-28 10:30:00+00:00,,,33240.0,,1118,8.0,18.0,8690,,43072.0,1118.0,33240.0,43072.0,34384.0
48,2020-03-28 17:30:00+00:00,,,33240.0,,1117,8.0,19.0,8690,,43072.0,1117.0,33240.0,43072.0,34384.0
49,2020-03-29 10:30:00+00:00,,,40630.0,,1326,8.0,21.0,7203,,49186.0,1326.0,40630.0,49186.0,41985.0
50,2020-03-29 17:30:00+00:00,,,40630.0,,1324,8.0,23.0,7203,,49186.0,1324.0,40630.0,49186.0,41985.0
